,Molecule ChEMBL ID,Standard Value,Smiles,Receptor_class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
674,CHEMBL245867,130.0,NCCCCOCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,active,459.5290000000002,4.265500000000003,8.0,2.0,6.886056647693163
675,CHEMBL401443,63.0,OC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,active,471.54000000000025,3.966700000000003,8.0,2.0,7.200659450546418
676,CHEMBL3930609,100.0,Cc1cc(OC2CCNCC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,active,631.6870000000001,7.171620000000006,8.0,3.0,7.0
677,CHEMBL3951967,100.0,CCOc1cc(N2CCC(N3CCCCC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,active,728.8480000000001,8.585800000000004,9.0,2.0,7.0
678,CHEMBL3907756,1000.0,COc1cc(N2CCC(N3CCCCC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4ccc(Cl)cc4F)c3)nc3ccccn23)n1,active,731.276,8.710000000000003,9.0,2.0,6.0
679,CHEMBL3920487,100.0,COc1cc(N2CCC(N3CCCN(C)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,active,743.863,7.347300000000007,10.0,2.0,7.0
680,CHEMBL3920934,1000.0,COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,active,823.9270000000001,6.2956000000000065,12.0,2.0,6.0
681,CHEMBL447639,100.0,COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,active,757.8460000000001,6.873900000000007,10.0,2.0,7.0
682,CHEMBL3918624,100.0,COc1cc(N2CCC(CCS(C)(=O)=O)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,active,737.8330000000001,7.392100000000007,10.0,2.0,7.0
683,CHEMBL3979973,1000.0,COc1cc(N2CCC(CCS(C)(=O)=O)CC2)c(C)cc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3cc(F)ccn23)n1,active,799.8760000000002,7.8482200000000075,11.0,2.0,6.0
684,CHEMBL540701,347.0,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,active,383.4510000000001,5.517200000000004,5.0,1.0,6.459670525209126
685,CHEMBL2148045,8.5,CCS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,active,582.0040000000001,5.190300000000004,8.0,2.0,8.070581074285707
686,CHEMBL2148047,14.0,CC(C)(C)S(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,active,610.0580000000001,5.968900000000005,8.0,2.0,7.853871964321762
687,CHEMBL3922278,50.0,COc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OC[C@@H]1CN2CCC[C@H]2CO1,active,476.91100000000034,4.555600000000004,7.0,1.0,7.301029995663981
688,CHEMBL178922,2600.0,CCOc1cc2ncc(C#N)c(Nc3ccc(N4CCOCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,intermediate,535.0480000000002,4.795080000000003,8.0,2.0,5.585026652029182
